agent_id,x,y,time_step
1,16,70,0
1,16,69,1
1,16,68,2
1,16,67,3
1,16,66,4
1,17,66,5
1,17,65,6
1,17,64,7
1,18,64,8
1,18,63,9
1,18,62,10
1,18,61,11
1,19,61,12
1,20,61,13
1,21,61,14
1,21,60,15
1,22,60,16
1,23,60,17
1,23,59,18
1,24,59,19
1,24,58,20
1,25,58,21
1,25,57,22
1,25,56,23
1,26,56,24
1,26,55,25
1,26,54,26
1,27,54,27
1,27,53,28
1,28,53,29
1,28,52,30
1,29,52,31
1,30,52,32
1,31,52,33
1,31,51,34
1,31,50,35
1,31,49,36
1,32,49,37
1,32,48,38
1,32,47,39
1,33,47,40
1,34,47,41
1,34,46,42
1,35,46,43
1,35,45,44
1,36,45,45
1,37,45,46
1,38,45,47
1,38,44,48
1,38,43,49
1,38,42,50
1,38,41,51
1,38,40,52
1,39,40,53
1,39,39,54
1,40,39,55
1,41,39,56
1,42,39,57
1,42,38,58
1,43,38,59
1,43,37,60
1,43,36,61
1,43,35,62
1,43,34,63
1,43,33,64
1,44,33,65
1,45,33,66
1,46,33,67
1,47,33,68
1,47,32,69
1,47,31,70
1,47,30,71
1,47,29,72
1,48,29,73
1,48,28,74
1,49,28,75
1,49,27,76
1,49,26,77
1,49,25,78
1,50,25,79
1,51,25,80
1,51,24,81
1,51,23,82
1,52,23,83
1,52,22,84
1,52,21,85
1,52,20,86
1,52,19,87
1,52,18,88
1,52,17,89
1,52,16,90
1,53,16,91
1,54,16,92
1,54,15,93
1,54,14,94
1,54,13,95
1,55,13,96
1,56,13,97
1,56,12,98
1,57,12,99
1,57,11,100
1,58,11,101
1,59,11,102
1,60,11,103
1,61,11,104
1,62,11,105
1,62,11,106
1,62,11,107
1,62,11,108
1,62,11,109
1,62,11,110
1,62,11,111
1,62,11,112
1,62,11,113
1,62,11,114
1,62,11,115
1,62,11,116
1,62,11,117
1,62,11,118
1,62,11,119
1,62,11,120
1,62,11,121
1,62,11,122
1,62,11,123
1,62,11,124
1,62,11,125
2,61,64,0
2,61,63,1
2,61,62,2
2,61,61,3
2,62,61,4
2,62,60,5
2,62,59,6
2,62,58,7
2,62,57,8
2,62,56,9
2,62,55,10
2,63,55,11
2,63,54,12
2,64,54,13
2,64,53,14
2,64,52,15
2,64,51,16
2,64,50,17
2,64,49,18
2,64,48,19
2,64,47,20
2,64,46,21
2,64,45,22
2,65,45,23
2,66,45,24
2,66,44,25
2,66,43,26
2,66,42,27
2,66,41,28
2,66,40,29
2,67,40,30
2,68,40,31
2,68,39,32
2,68,38,33
2,69,38,34
2,69,37,35
2,69,36,36
2,69,35,37
2,69,34,38
2,69,33,39
2,69,32,40
2,69,31,41
2,68,31,42
2,68,30,43
2,69,30,44
2,70,30,45
2,70,29,46
2,70,28,47
2,70,28,48
2,70,28,49
2,70,28,50
2,70,28,51
2,70,28,52
2,70,28,53
2,70,28,54
2,70,28,55
2,70,28,56
2,70,28,57
2,70,28,58
2,70,28,59
2,70,28,60
2,70,28,61
2,70,28,62
2,70,28,63
2,70,28,64
2,70,28,65
2,70,28,66
2,70,28,67
2,70,28,68
2,70,28,69
2,70,28,70
2,70,28,71
2,70,28,72
2,70,28,73
2,70,28,74
2,70,28,75
2,70,28,76
2,70,28,77
2,70,28,78
2,70,28,79
2,70,28,80
2,70,28,81
2,70,28,82
2,70,28,83
2,70,28,84
2,70,28,85
2,70,28,86
2,70,28,87
2,70,28,88
2,70,28,89
2,70,28,90
2,70,28,91
2,70,28,92
2,70,28,93
2,70,28,94
2,70,28,95
2,70,28,96
2,70,28,97
2,70,28,98
2,70,28,99
2,70,28,100
2,70,28,101
2,70,28,102
2,70,28,103
2,70,28,104
2,70,28,105
2,70,28,106
2,70,28,107
2,70,28,108
2,70,28,109
2,70,28,110
2,70,28,111
2,70,28,112
2,70,28,113
2,70,28,114
2,70,28,115
2,70,28,116
2,70,28,117
2,70,28,118
2,70,28,119
2,70,28,120
2,70,28,121
2,70,28,122
2,70,28,123
2,70,28,124
2,70,28,125
3,58,38,0
3,58,37,1
3,58,36,2
3,59,36,3
3,59,35,4
3,59,34,5
3,59,33,6
3,59,32,7
3,59,31,8
3,60,31,9
3,60,30,10
3,60,29,11
3,61,29,12
3,61,28,13
3,61,27,14
3,62,27,15
3,63,27,16
3,63,26,17
3,63,25,18
3,63,24,19
3,63,23,20
3,63,22,21
3,64,22,22
3,65,22,23
3,65,21,24
3,66,21,25
3,66,22,26
3,67,22,27
3,67,23,28
3,67,23,29
3,67,23,30
3,67,23,31
3,67,23,32
3,67,23,33
3,67,23,34
3,67,23,35
3,67,23,36
3,67,23,37
3,67,23,38
3,67,23,39
3,67,23,40
3,67,23,41
3,67,23,42
3,67,23,43
3,67,23,44
3,67,23,45
3,67,23,46
3,67,23,47
3,67,23,48
3,67,23,49
3,67,23,50
3,67,23,51
3,67,23,52
3,67,23,53
3,67,23,54
3,67,23,55
3,67,23,56
3,67,23,57
3,67,23,58
3,67,23,59
3,67,23,60
3,67,23,61
3,67,23,62
3,67,23,63
3,67,23,64
3,67,23,65
3,67,23,66
3,67,23,67
3,67,23,68
3,67,23,69
3,67,23,70
3,67,23,71
3,67,23,72
3,67,23,73
3,67,23,74
3,67,23,75
3,67,23,76
3,67,23,77
3,67,23,78
3,67,23,79
3,67,23,80
3,67,23,81
3,67,23,82
3,67,23,83
3,67,23,84
3,67,23,85
3,67,23,86
3,67,23,87
3,67,23,88
3,67,23,89
3,67,23,90
3,67,23,91
3,67,23,92
3,67,23,93
3,67,23,94
3,67,23,95
3,67,23,96
3,67,23,97
3,67,23,98
3,67,23,99
3,67,23,100
3,67,23,101
3,67,23,102
3,67,23,103
3,67,23,104
3,67,23,105
3,67,23,106
3,67,23,107
3,67,23,108
3,67,23,109
3,67,23,110
3,67,23,111
3,67,23,112
3,67,23,113
3,67,23,114
3,67,23,115
3,67,23,116
3,67,23,117
3,67,23,118
3,67,23,119
3,67,23,120
3,67,23,121
3,67,23,122
3,67,23,123
3,67,23,124
3,67,23,125
4,6,61,0
4,7,61,1
4,8,61,2
4,9,61,3
4,10,61,4
4,11,61,5
4,12,61,6
4,12,60,7
4,12,59,8
4,12,58,9
4,12,57,10
4,13,57,11
4,14,57,12
4,14,56,13
4,14,55,14
4,14,54,15
4,15,54,16
4,16,54,17
4,16,53,18
4,16,52,19
4,16,51,20
4,17,51,21
4,18,51,22
4,18,50,23
4,19,50,24
4,20,50,25
4,21,50,26
4,21,49,27
4,21,48,28
4,21,47,29
4,21,46,30
4,21,45,31
4,21,44,32
4,21,43,33
4,21,42,34
4,21,41,35
4,21,40,36
4,21,39,37
4,22,39,38
4,23,39,39
4,24,39,40
4,25,39,41
4,26,39,42
4,27,39,43
4,27,38,44
4,27,37,45
4,28,37,46
4,28,36,47
4,29,36,48
4,29,35,49
4,30,35,50
4,31,35,51
4,32,35,52
4,33,35,53
4,34,35,54
4,34,34,55
4,35,34,56
4,35,33,57
4,35,32,58
4,35,31,59
4,36,31,60
4,36,30,61
4,37,30,62
4,37,29,63
4,38,29,64
4,39,29,65
4,39,28,66
4,39,27,67
4,40,27,68
4,41,27,69
4,41,26,70
4,41,25,71
4,41,24,72
4,41,23,73
4,41,22,74
4,42,22,75
4,42,21,76
4,42,20,77
4,42,19,78
4,42,18,79
4,42,17,80
4,42,16,81
4,42,15,82
4,43,15,83
4,43,14,84
4,44,14,85
4,44,13,86
4,44,12,87
4,44,11,88
4,45,11,89
4,45,10,90
4,45,9,91
4,44,9,92
4,44,9,93
4,44,9,94
4,44,9,95
4,44,9,96
4,44,9,97
4,44,9,98
4,44,9,99
4,44,9,100
4,44,9,101
4,44,9,102
4,44,9,103
4,44,9,104
4,44,9,105
4,44,9,106
4,44,9,107
4,44,9,108
4,44,9,109
4,44,9,110
4,44,9,111
4,44,9,112
4,44,9,113
4,44,9,114
4,44,9,115
4,44,9,116
