agent_id,x,y,time_step
1,12,26,0
1,13,26,1
1,14,26,2
1,15,26,3
1,15,25,4
1,16,25,5
1,17,25,6
1,18,25,7
1,19,25,8
1,19,24,9
1,20,24,10
1,21,24,11
1,22,24,12
1,23,24,13
1,24,24,14
1,24,23,15
1,25,23,16
1,26,23,17
1,26,22,18
1,27,22,19
1,28,22,20
1,28,21,21
1,29,21,22
1,30,21,23
1,31,21,24
1,31,20,25
1,31,19,26
1,31,18,27
1,32,18,28
1,33,18,29
1,34,18,30
1,34,17,31
1,35,17,32
1,35,16,33
1,36,16,34
1,36,15,35
1,37,15,36
1,38,15,37
1,39,15,38
1,40,15,39
1,41,15,40
1,42,15,41
1,43,15,42
1,44,15,43
1,45,15,44
1,45,14,45
1,46,14,46
1,47,14,47
1,48,14,48
1,49,14,49
1,49,15,50
1,50,15,51
1,50,15,52
1,50,15,53
1,50,15,54
1,50,15,55
1,50,15,56
1,50,15,57
1,50,15,58
1,50,15,59
1,50,15,60
1,50,15,61
1,50,15,62
1,50,15,63
1,50,15,64
1,50,15,65
1,50,15,66
1,50,15,67
1,50,15,68
1,50,15,69
1,50,15,70
1,50,15,71
1,50,15,72
1,50,15,73
1,50,15,74
1,50,15,75
1,50,15,76
1,50,15,77
1,50,15,78
1,50,15,79
1,50,15,80
1,50,15,81
1,50,15,82
1,50,15,83
1,50,15,84
1,50,15,85
1,50,15,86
1,50,15,87
1,50,15,88
1,50,15,89
1,50,15,90
1,50,15,91
1,50,15,92
1,50,15,93
1,50,15,94
1,50,15,95
1,50,15,96
1,50,15,97
1,50,15,98
1,50,15,99
1,50,15,100
1,50,15,101
1,50,15,102
1,50,15,103
1,50,15,104
1,50,15,105
1,50,15,106
1,50,15,107
1,50,15,108
1,50,15,109
1,50,15,110
1,50,15,111
1,50,15,112
1,50,15,113
1,50,15,114
1,50,15,115
1,50,15,116
1,50,15,117
1,50,15,118
1,50,15,119
1,50,15,120
1,50,15,121
1,50,15,122
1,50,15,123
1,50,15,124
1,50,15,125
1,50,15,126
1,50,15,127
1,50,15,128
1,50,15,129
1,50,15,130
1,50,15,131
1,50,15,132
1,50,15,133
1,50,15,134
1,50,15,135
1,50,15,136
1,50,15,137
2,41,16,0
2,42,16,1
2,43,16,2
2,44,16,3
2,45,16,4
2,45,17,5
2,46,17,6
2,46,18,7
2,46,19,8
2,47,19,9
2,48,19,10
2,49,19,11
2,50,19,12
2,51,19,13
2,51,20,14
2,51,21,15
2,51,22,16
2,52,22,17
2,53,22,18
2,53,23,19
2,53,24,20
2,53,25,21
2,53,26,22
2,53,27,23
2,54,27,24
2,55,27,25
2,55,28,26
2,55,29,27
2,55,30,28
2,55,31,29
2,56,31,30
2,56,32,31
2,57,32,32
2,57,33,33
2,58,33,34
2,59,33,35
2,60,33,36
2,61,33,37
2,62,33,38
2,63,33,39
2,64,33,40
2,64,34,41
